date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2008-08-21,Indonesia,Cambodia,7.0,0.0,Friendly,Jakarta,Indonesia,False
2008-08-22,Cambodia,Myanmar,1.0,7.0,Friendly,Jakarta,Indonesia,True
2008-08-25,Indonesia,Myanmar,4.0,0.0,Friendly,Jakarta,Indonesia,False
2008-10-01,Vietnam,Myanmar,2.0,3.0,Friendly,Ho Chi Minh City,Vietnam,False
2008-10-14,Vietnam,Singapore,0.0,0.0,Friendly,Hanoi,Vietnam,False
2008-10-23,Cambodia,Philippines,2.0,3.0,AFF Championship qualification,Phnom Penh,Cambodia,False
2008-10-23,Malaysia,Myanmar,4.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
2008-11-15,Myanmar,Indonesia,2.0,1.0,Friendly,Yangon,Myanmar,False
2008-11-16,Vietnam,Thailand,2.0,2.0,VFF Cup,Hanoi,Vietnam,False
2008-11-18,Myanmar,Malaysia,4.0,1.0,Friendly,Yangon,Myanmar,False
2008-11-21,Myanmar,Indonesia,2.0,1.0,Friendly,Yangon,Myanmar,False
2008-11-29,Malaysia,Singapore,2.0,2.0,Friendly,Petaling Jaya,Malaysia,False
2008-12-05,Indonesia,Myanmar,3.0,0.0,AFF Championship,Jakarta,Indonesia,False
2008-12-05,Singapore,Cambodia,5.0,0.0,AFF Championship,Jakarta,Indonesia,True
2008-12-06,Thailand,Vietnam,2.0,0.0,AFF Championship,Phuket,Thailand,False
2008-12-07,Indonesia,Cambodia,4.0,0.0,AFF Championship,Jakarta,Indonesia,False
2008-12-07,Singapore,Myanmar,3.0,1.0,AFF Championship,Jakarta,Indonesia,True
2008-12-08,Malaysia,Vietnam,2.0,3.0,AFF Championship,Phuket,Thailand,True
2008-12-09,Myanmar,Cambodia,3.0,2.0,AFF Championship,Bandung,Indonesia,True
2008-12-09,Indonesia,Singapore,0.0,2.0,AFF Championship,Jakarta,Indonesia,False
2008-12-10,Thailand,Malaysia,3.0,0.0,AFF Championship,Phuket,Thailand,False
2008-12-16,Indonesia,Thailand,0.0,1.0,AFF Championship,Jakarta,Indonesia,False
2008-12-17,Vietnam,Singapore,0.0,0.0,AFF Championship,Hanoi,Vietnam,False
2008-12-24,Thailand,Vietnam,1.0,2.0,AFF Championship,Bangkok,Thailand,False
2008-12-28,Vietnam,Thailand,1.0,1.0,AFF Championship,Hanoi,Vietnam,False
2009-04-30,Myanmar,Cambodia,1.0,0.0,AFC Challenge Cup qualification,Dhaka,Bangladesh,True
2009-10-24,Vietnam,Singapore,2.0,2.0,Friendly,Ho Chi Minh City,Vietnam,False
2009-11-04,Singapore,Indonesia,3.0,1.0,Friendly,Singapore,Singapore,False
2009-11-14,Singapore,Thailand,1.0,3.0,AFC Asian Cup qualification,Singapore,Singapore,False
2009-11-18,Thailand,Singapore,0.0,1.0,AFC Asian Cup qualification,Bangkok,Thailand,False
2010-01-17,Thailand,Singapore,1.0,0.0,King's Cup,Nakhon Ratchasima,Thailand,False
2010-08-11,Thailand,Singapore,1.0,0.0,Friendly,Bangkok,Thailand,False
2010-10-26,Philippines,Cambodia,0.0,0.0,AFF Championship qualification,Vientiane,Laos,True
2010-11-04,Vietnam,Singapore,1.0,1.0,VFF Cup,Hanoi,Vietnam,False
2010-12-01,Indonesia,Malaysia,5.0,1.0,AFF Championship,Jakarta,Indonesia,False
2010-12-02,Singapore,Philippines,1.0,1.0,AFF Championship,Hanoi,Vietnam,True
2010-12-02,Vietnam,Myanmar,7.0,1.0,AFF Championship,Hanoi,Vietnam,False
2010-12-04,Thailand,Malaysia,0.0,0.0,AFF Championship,Jakarta,Indonesia,True
2010-12-05,Singapore,Myanmar,2.0,1.0,AFF Championship,Hanoi,Vietnam,True
2010-12-05,Vietnam,Philippines,0.0,2.0,AFF Championship,Hanoi,Vietnam,False
2010-12-07,Indonesia,Thailand,2.0,1.0,AFF Championship,Jakarta,Indonesia,False
2010-12-08,Myanmar,Philippines,0.0,0.0,AFF Championship,Nam Định,Vietnam,True
2010-12-08,Vietnam,Singapore,1.0,0.0,AFF Championship,Hanoi,Vietnam,False
2010-12-15,Malaysia,Vietnam,2.0,0.0,AFF Championship,Kuala Lumpur,Malaysia,False
2010-12-16,Indonesia,Philippines,1.0,0.0,AFF Championship,Jakarta,Indonesia,False
2010-12-18,Vietnam,Malaysia,0.0,0.0,AFF Championship,Hanoi,Vietnam,False
2010-12-19,Indonesia,Philippines,1.0,0.0,AFF Championship,Jakarta,Indonesia,False
2010-12-26,Malaysia,Indonesia,3.0,0.0,AFF Championship,Kuala Lumpur,Malaysia,False
2010-12-29,Indonesia,Malaysia,2.0,1.0,AFF Championship,Jakarta,Indonesia,False
2011-03-21,Myanmar,Philippines,1.0,1.0,AFC Challenge Cup qualification,Yangon,Myanmar,False
2011-06-18,Malaysia,Myanmar,2.0,0.0,Friendly,Kota Bharu,Malaysia,False
2011-07-14,Thailand,Myanmar,1.0,0.0,Friendly,Buriram,Thailand,False
2011-07-15,Thailand,Myanmar,1.0,1.0,Friendly,Buriram,Thailand,False
2011-07-23,Singapore,Malaysia,5.0,3.0,FIFA World Cup qualification,Singapore,Singapore,False
2011-07-28,Malaysia,Singapore,1.0,1.0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False
2011-08-24,Thailand,Singapore,0.0,0.0,Friendly,Bangkok,Thailand,False
2011-10-07,Singapore,Philippines,2.0,0.0,Friendly,Singapore,Singapore,False
2012-02-29,Philippines,Malaysia,1.0,1.0,Friendly,Manila,Philippines,False
2012-06-01,Malaysia,Philippines,0.0,0.0,Friendly,Shah Alam,Malaysia,False
2012-06-05,Philippines,Indonesia,2.0,2.0,Friendly,Manila,Philippines,False
2012-06-08,Singapore,Malaysia,2.0,2.0,Friendly,Singapore,Singapore,False
2012-06-12,Malaysia,Singapore,2.0,0.0,Friendly,Shah Alam,Malaysia,False
2012-09-05,Cambodia,Philippines,0.0,0.0,Friendly,Phnom Penh,Cambodia,False
2012-09-07,Singapore,Philippines,0.0,2.0,Friendly,Jurong,Singapore,False
2012-09-11,Myanmar,Singapore,1.0,1.0,Friendly,Yangon,Myanmar,False
2012-09-11,Malaysia,Vietnam,0.0,2.0,Friendly,Shah Alam,Malaysia,False
2012-10-11,Myanmar,Cambodia,3.0,0.0,AFF Championship qualification,Yangon,Myanmar,False
2012-10-16,Vietnam,Indonesia,0.0,0.0,Friendly,Hanoi,Vietnam,False
2012-11-03,Vietnam,Malaysia,1.0,0.0,Friendly,Hanoi,Vietnam,False
2012-11-07,Thailand,Malaysia,2.0,0.0,Friendly,Nonthaburi,Thailand,False
2012-11-15,Philippines,Singapore,1.0,0.0,Friendly,Cebu City,Philippines,False
2012-11-24,Thailand,Philippines,2.0,1.0,AFF Championship,Bangkok,Thailand,False
2012-11-24,Vietnam,Myanmar,1.0,1.0,AFF Championship,Bangkok,Thailand,True
2012-11-25,Malaysia,Singapore,0.0,3.0,AFF Championship,Kuala Lumpur,Malaysia,False
2012-11-27,Thailand,Myanmar,4.0,0.0,AFF Championship,Bangkok,Thailand,False
2012-11-27,Vietnam,Philippines,0.0,1.0,AFF Championship,Bangkok,Thailand,True
2012-11-28,Indonesia,Singapore,1.0,0.0,AFF Championship,Kuala Lumpur,Malaysia,True
2012-11-30,Philippines,Myanmar,2.0,0.0,AFF Championship,Bangkok,Thailand,True
2012-11-30,Thailand,Vietnam,3.0,1.0,AFF Championship,Bangkok,Thailand,False
2012-12-01,Malaysia,Indonesia,2.0,0.0,AFF Championship,Kuala Lumpur,Malaysia,False
2012-12-08,Philippines,Singapore,0.0,0.0,AFF Championship,Manila,Philippines,False
2012-12-09,Malaysia,Thailand,1.0,1.0,AFF Championship,Kuala Lumpur,Malaysia,False
2012-12-12,Singapore,Philippines,1.0,0.0,AFF Championship,Singapore,Singapore,False
2012-12-13,Thailand,Malaysia,2.0,0.0,AFF Championship,Bangkok,Thailand,False
2012-12-19,Singapore,Thailand,3.0,1.0,AFF Championship,Singapore,Singapore,False
2012-12-22,Thailand,Singapore,1.0,0.0,AFF Championship,Bangkok,Thailand,False
2013-02-06,Myanmar,Philippines,0.0,1.0,Friendly,Yangon,Myanmar,False
2013-03-24,Philippines,Cambodia,8.0,0.0,AFC Challenge Cup qualification,Manila,Philippines,False
2013-06-04,Myanmar,Singapore,0.0,2.0,Friendly,Yangon,Myanmar,False
2013-08-14,Indonesia,Philippines,2.0,0.0,Friendly,Surakarta,Indonesia,False
2013-11-24,Singapore,Cambodia,1.0,0.0,Friendly,Hougang,Singapore,False
2014-03-01,Malaysia,Philippines,0.0,0.0,Friendly,Selayang,Malaysia,False
2014-04-27,Philippines,Malaysia,0.0,0.0,Friendly,Cebu,Philippines,False
2014-07-02,Vietnam,Myanmar,6.0,0.0,Friendly,Thủ Dầu Một,Vietnam,False
2014-09-06,Philippines,Myanmar,2.0,3.0,Friendly,Manila,Philippines,False
2014-09-14,Indonesia,Malaysia,2.0,0.0,Friendly,Sidoarjo,Indonesia,False
2014-09-20,Malaysia,Cambodia,4.0,1.0,Friendly,Shah Alam,Malaysia,False
2014-09-25,Indonesia,Cambodia,1.0,0.0,Friendly,Malang,Indonesia,False
2014-10-18,Cambodia,Myanmar,0.0,1.0,AFF Championship qualification,Vientiane,Laos,True
2014-11-09,Thailand,Philippines,3.0,0.0,Friendly,Nakhon Ratchasima,Thailand,False
2014-11-14,Philippines,Cambodia,3.0,0.0,Friendly,Manila,Philippines,False
2014-11-16,Vietnam,Malaysia,3.0,1.0,Friendly,Hanoi,Vietnam,False
2014-11-17,Singapore,Cambodia,4.0,2.0,Friendly,Yishun,Singapore,False
2014-11-22,Vietnam,Indonesia,2.0,2.0,AFF Championship,Hanoi,Vietnam,False
2014-11-23,Malaysia,Myanmar,0.0,0.0,AFF Championship,Kallang,Singapore,True
2014-11-23,Singapore,Thailand,1.0,2.0,AFF Championship,Kallang,Singapore,False
2014-11-25,Philippines,Indonesia,4.0,0.0,AFF Championship,Hanoi,Vietnam,True
2014-11-26,Malaysia,Thailand,2.0,3.0,AFF Championship,Kallang,Singapore,True
2014-11-26,Singapore,Myanmar,4.0,2.0,AFF Championship,Kallang,Singapore,False
2014-11-28,Vietnam,Philippines,3.0,1.0,AFF Championship,Hanoi,Vietnam,False
2014-11-29,Singapore,Malaysia,1.0,3.0,AFF Championship,Kallang,Singapore,False
2014-11-29,Thailand,Myanmar,2.0,0.0,AFF Championship,Kallang,Singapore,True
2014-12-06,Philippines,Thailand,0.0,0.0,AFF Championship,Manila,Philippines,False
2014-12-07,Malaysia,Vietnam,1.0,2.0,AFF Championship,Shah Alam,Malaysia,False
2014-12-10,Thailand,Philippines,3.0,0.0,AFF Championship,Bangkok,Thailand,False
2014-12-11,Vietnam,Malaysia,2.0,4.0,AFF Championship,Hanoi,Vietnam,False
2014-12-17,Thailand,Malaysia,2.0,0.0,AFF Championship,Bangkok,Thailand,False
2014-12-20,Malaysia,Thailand,3.0,2.0,AFF Championship,Shah Alam,Malaysia,False
2015-03-26,Thailand,Singapore,2.0,0.0,Friendly,Nakhon Ratchasima,Thailand,False
2015-03-30,Indonesia,Myanmar,2.0,1.0,Friendly,Sidoarjo,Indonesia,False
2015-05-24,Thailand,Vietnam,1.0,0.0,FIFA World Cup qualification,Bangkok,Thailand,False
2015-06-05,Cambodia,Myanmar,1.0,0.0,Friendly,Samut Sakhon,Thailand,True
2015-06-11,Cambodia,Singapore,0.0,4.0,FIFA World Cup qualification,Phnom Penh,Cambodia,False
2015-10-13,Singapore,Cambodia,2.0,1.0,FIFA World Cup qualification,Kallang,Singapore,False
2015-10-13,Vietnam,Thailand,0.0,3.0,FIFA World Cup qualification,Hanoi,Vietnam,False
2016-03-24,Singapore,Myanmar,2.0,1.0,Friendly,Kallang,Singapore,False
2016-05-28,Myanmar,Malaysia,0.0,0.0,Friendly,Yangon,Myanmar,False
2016-06-03,Myanmar,Singapore,0.0,1.0,Friendly,Yangon,Myanmar,False
2016-06-06,Singapore,Vietnam,0.0,3.0,Friendly,Yangon,Myanmar,True
2016-07-28,Cambodia,Singapore,2.0,1.0,Friendly,Phnom Penh,Cambodia,False
2016-09-06,Indonesia,Malaysia,3.0,0.0,Friendly,Surakarta,Indonesia,False
2016-10-07,Singapore,Malaysia,0.0,0.0,Friendly,Kallang,Singapore,False
2016-10-09,Indonesia,Vietnam,2.0,2.0,Friendly,Sleman,Indonesia,False
2016-11-04,Myanmar,Indonesia,0.0,0.0,Friendly,Yangon,Myanmar,False
2016-11-08,Vietnam,Indonesia,3.0,2.0,Friendly,Hanoi,Vietnam,False
2016-11-13,Singapore,Cambodia,1.0,0.0,Friendly,Bishan,Singapore,False
2016-11-19,Philippines,Singapore,0.0,0.0,AFF Championship,Bocaue,Philippines,False
2016-11-19,Thailand,Indonesia,4.0,2.0,AFF Championship,Bocaue,Philippines,True
2016-11-20,Myanmar,Vietnam,1.0,2.0,AFF Championship,Yangon,Myanmar,False
2016-11-20,Malaysia,Cambodia,3.0,2.0,AFF Championship,Yangon,Myanmar,True
2016-11-22,Philippines,Indonesia,2.0,2.0,AFF Championship,Bocaue,Philippines,False
2016-11-22,Thailand,Singapore,1.0,0.0,AFF Championship,Bocaue,Philippines,True
2016-11-23,Myanmar,Cambodia,3.0,1.0,AFF Championship,Yangon,Myanmar,False
2016-11-23,Malaysia,Vietnam,0.0,1.0,AFF Championship,Yangon,Myanmar,True
2016-11-25,Philippines,Thailand,0.0,1.0,AFF Championship,Bocaue,Philippines,False
2016-11-25,Singapore,Indonesia,1.0,2.0,AFF Championship,Manila,Philippines,True
2016-11-26,Myanmar,Malaysia,1.0,0.0,AFF Championship,Yangon,Myanmar,False
2016-11-26,Vietnam,Cambodia,2.0,1.0,AFF Championship,Naypyidaw,Myanmar,True
2016-12-03,Indonesia,Vietnam,2.0,1.0,AFF Championship,Bogor,Indonesia,False
2016-12-04,Myanmar,Thailand,0.0,2.0,AFF Championship,Yangon,Myanmar,False
2016-12-07,Vietnam,Indonesia,2.0,2.0,AFF Championship,Hanoi,Vietnam,False
2016-12-08,Thailand,Myanmar,4.0,0.0,AFF Championship,Bangkok,Thailand,False
2016-12-14,Indonesia,Thailand,2.0,1.0,AFF Championship,Bogor,Indonesia,False
2016-12-17,Thailand,Indonesia,2.0,0.0,AFF Championship,Bangkok,Thailand,False
2017-03-21,Indonesia,Myanmar,1.0,3.0,Friendly,Cibinong,Indonesia,False
2017-03-22,Philippines,Malaysia,0.0,0.0,Friendly,Manila,Philippines,False
2017-06-08,Cambodia,Indonesia,0.0,2.0,Friendly,Phnom Penh,Cambodia,False
2017-08-29,Myanmar,Malaysia,1.0,0.0,Friendly,Yangon,Myanmar,False
2017-09-05,Cambodia,Vietnam,1.0,2.0,AFC Asian Cup qualification,Phnom Penh,Cambodia,False
2017-10-05,Myanmar,Thailand,1.0,3.0,Friendly,Mandalay,Myanmar,False
2017-10-10,Vietnam,Cambodia,5.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,False
2017-11-09,Cambodia,Myanmar,1.0,2.0,Friendly,Phnom Penh,Cambodia,False
2018-09-10,Cambodia,Malaysia,1.0,3.0,Friendly,Phnom Penh,Cambodia,False
2018-10-10,Indonesia,Myanmar,3.0,0.0,Friendly,Cikarang,Indonesia,False
2018-10-16,Cambodia,Singapore,1.0,2.0,Friendly,Phnom Penh,Cambodia,False
2018-11-08,Cambodia,Malaysia,0.0,1.0,AFF Championship,Phnom Penh,Cambodia,False
2018-11-09,Singapore,Indonesia,1.0,0.0,AFF Championship,Kallang,Singapore,False
2018-11-12,Myanmar,Cambodia,4.0,1.0,AFF Championship,Mandalay,Myanmar,False
2018-11-13,Philippines,Singapore,1.0,0.0,AFF Championship,Bacolod,Philippines,False
2018-11-16,Vietnam,Malaysia,2.0,0.0,AFF Championship,Hanoi,Vietnam,False
2018-11-17,Thailand,Indonesia,4.0,2.0,AFF Championship,Bangkok,Thailand,False
2018-11-20,Myanmar,Vietnam,0.0,0.0,AFF Championship,Yangon,Myanmar,False
2018-11-21,Philippines,Thailand,1.0,1.0,AFF Championship,Bacolod,Philippines,False
2018-11-24,Vietnam,Cambodia,3.0,0.0,AFF Championship,Hanoi,Vietnam,False
2018-11-24,Malaysia,Myanmar,3.0,0.0,AFF Championship,Kuala Lumpur,Malaysia,False
2018-11-25,Indonesia,Philippines,0.0,0.0,AFF Championship,Jakarta,Indonesia,False
2018-11-25,Thailand,Singapore,3.0,0.0,AFF Championship,Bangkok,Thailand,False
2018-12-01,Malaysia,Thailand,0.0,0.0,AFF Championship,Kuala Lumpur,Malaysia,False
2018-12-02,Philippines,Vietnam,1.0,2.0,AFF Championship,Bacolod,Philippines,False
2018-12-05,Thailand,Malaysia,2.0,2.0,AFF Championship,Bangkok,Thailand,False
2018-12-06,Vietnam,Philippines,2.0,1.0,AFF Championship,Hanoi,Vietnam,False
2018-12-11,Malaysia,Vietnam,2.0,2.0,AFF Championship,Kuala Lumpur,Malaysia,False
2018-12-15,Vietnam,Malaysia,1.0,0.0,AFF Championship,Hanoi,Vietnam,False
2018-12-31,Philippines,Vietnam,2.0,4.0,Friendly,Doha,Qatar,True
2019-03-25,Myanmar,Indonesia,0.0,2.0,Friendly,Mandalay,Myanmar,False
2019-06-11,Singapore,Myanmar,1.0,2.0,Friendly,Kallang,Singapore,False
2019-09-05,Thailand,Vietnam,0.0,0.0,FIFA World Cup qualification,Pathum Thani,Thailand,False
2019-09-05,Indonesia,Malaysia,2.0,3.0,FIFA World Cup qualification,Jakarta,Indonesia,False
2019-09-10,Indonesia,Thailand,0.0,3.0,FIFA World Cup qualification,Jakarta,Indonesia,False
2019-10-10,Vietnam,Malaysia,1.0,0.0,FIFA World Cup qualification,Hanoi,Vietnam,False
2019-10-15,Indonesia,Vietnam,1.0,3.0,FIFA World Cup qualification,Gianyar,Indonesia,False
2019-11-14,Malaysia,Thailand,2.0,1.0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False
2019-11-19,Vietnam,Thailand,0.0,0.0,FIFA World Cup qualification,Hanoi,Vietnam,False
2019-11-19,Malaysia,Indonesia,2.0,0.0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False
2021-06-03,Thailand,Indonesia,2.0,2.0,FIFA World Cup qualification,Dubai,United Arab Emirates,True
2021-06-07,Vietnam,Indonesia,4.0,0.0,FIFA World Cup qualification,Dubai,United Arab Emirates,True
2021-06-11,Malaysia,Vietnam,1.0,2.0,FIFA World Cup qualification,Dubai,United Arab Emirates,True
2021-06-15,Thailand,Malaysia,0.0,1.0,FIFA World Cup qualification,Dubai,United Arab Emirates,True
2021-11-25,Indonesia,Myanmar,4.0,1.0,Friendly,Antalya,Turkey,True
2021-12-05,Singapore,Myanmar,3.0,0.0,AFF Championship,Kallang,Singapore,False
2021-12-06,Cambodia,Malaysia,1.0,3.0,AFF Championship,Bishan,Singapore,True
2021-12-08,Singapore,Philippines,2.0,1.0,AFF Championship,Kallang,Singapore,False
2021-12-09,Indonesia,Cambodia,4.0,2.0,AFF Championship,Bishan,Singapore,True
2021-12-11,Thailand,Myanmar,4.0,0.0,AFF Championship,Kallang,Singapore,True
2021-12-12,Vietnam,Malaysia,3.0,0.0,AFF Championship,Bishan,Singapore,True
2021-12-14,Philippines,Thailand,1.0,2.0,AFF Championship,Kallang,Singapore,True
2021-12-15,Indonesia,Vietnam,0.0,0.0,AFF Championship,Bishan,Singapore,True
2021-12-18,Singapore,Thailand,0.0,2.0,AFF Championship,Kallang,Singapore,False
2021-12-18,Myanmar,Philippines,2.0,3.0,AFF Championship,Bishan,Singapore,True
2021-12-19,Vietnam,Cambodia,4.0,0.0,AFF Championship,Bishan,Singapore,True
2021-12-19,Malaysia,Indonesia,1.0,4.0,AFF Championship,Kallang,Singapore,True
2021-12-22,Singapore,Indonesia,1.0,1.0,AFF Championship,Kallang,Singapore,False
2021-12-23,Vietnam,Thailand,0.0,2.0,AFF Championship,Kallang,Singapore,True
2021-12-25,Singapore,Indonesia,2.0,4.0,AFF Championship,Kallang,Singapore,False
2021-12-26,Thailand,Vietnam,0.0,0.0,AFF Championship,Kallang,Singapore,True
2021-12-29,Indonesia,Thailand,0.0,4.0,AFF Championship,Kallang,Singapore,True
2022-01-01,Thailand,Indonesia,2.0,2.0,AFF Championship,Kallang,Singapore,True
2022-03-23,Malaysia,Philippines,2.0,0.0,Friendly,Kallang,Singapore,True
2022-03-26,Singapore,Malaysia,2.0,1.0,Friendly,Kallang,Singapore,False
2022-03-29,Singapore,Philippines,2.0,0.0,Friendly,Kallang,Singapore,False
2022-06-14,Myanmar,Singapore,2.0,6.0,AFC Asian Cup qualification,Bishkek,Kyrgyzstan,True
2022-09-21,Vietnam,Singapore,4.0,0.0,Friendly,Ho Chi Minh City,Vietnam,False
2022-09-22,Thailand,Malaysia,1.0,1.0,King's Cup,Chiang Mai,Thailand,False
2022-12-09,Malaysia,Cambodia,4.0,0.0,Friendly,Kuala Lumpur,Malaysia,False
2022-12-11,Thailand,Myanmar,6.0,0.0,Friendly,Pathum Thani,Thailand,False
2022-12-14,Vietnam,Philippines,1.0,0.0,Friendly,Hanoi,Vietnam,False
2022-12-20,Cambodia,Philippines,3.0,2.0,AFF Championship,Phnom Penh,Cambodia,False
2022-12-21,Myanmar,Malaysia,0.0,1.0,AFF Championship,Yangon,Myanmar,False
2022-12-23,Indonesia,Cambodia,2.0,1.0,AFF Championship,Jakarta,Indonesia,False
